input_name,search_name,matched_uri,match_count
"Chlidonias leucopterus","Chlidonias leucopterus","http://biodiversity.org.au/afd.taxon/383daf29-74b1-40b1-9014-51bbf3af8898",1
"Crocodylus porosus","Crocodylus porosus","http://biodiversity.org.au/afd.taxon/989a7126-df02-4f1f-a21f-feca59662947",1
"Cuculus optatus","Cuculus optatus","http://biodiversity.org.au/afd.taxon/a59d59b3-a9b5-4e6a-ab0e-7602c447d50e",1
"Dermochelys coriacea","Dermochelys coriacea","http://biodiversity.org.au/afd.taxon/9b31383c-4745-4b8f-a3bd-8b9e91619e47",1
"Diomedea amsterdamensis","Diomedea amsterdamensis","http://biodiversity.org.au/afd.taxon/67ab9a8c-5e66-4e3a-9062-82894aeb5f06",1
"Diomedea antipodensis","Diomedea antipodensis","http://biodiversity.org.au/afd.taxon/5c566548-e698-44bf-996f-8d9be78c02d8",1
"Diomedea dabbenena","Diomedea dabbenena","http://biodiversity.org.au/afd.taxon/489b57c7-4f23-43c7-b465-fdc55f3baad3",1
"Diomedea epomophora","Diomedea epomophora","http://biodiversity.org.au/afd.taxon/b97cb235-4a5c-4033-9922-06837b194de7",1
"Diomedea exulans","Diomedea exulans","http://biodiversity.org.au/afd.taxon/702eb2fa-4723-4d0f-bca2-4e0d0770a6fb",1
"Diomedea sanfordi","Diomedea sanfordi","http://biodiversity.org.au/afd.taxon/fef65ae9-949c-44ea-8533-1745bf097a74",1
"Dugong dugon","Dugong dugon","http://biodiversity.org.au/afd.taxon/dfa14228-4f24-48be-b5e6-f91db5ddbbe1",1
"Eretmochelys imbricata","Eretmochelys imbricata","http://biodiversity.org.au/afd.taxon/96133221-771a-40d0-8368-ad428a55aaaa",1
"Eubalaena australis","Eubalaena australis","http://biodiversity.org.au/afd.taxon/0c5bfca8-f73a-4c8e-be98-fa8c8556d06d",1
"Fregata andrewsi","Fregata andrewsi","http://biodiversity.org.au/afd.taxon/a34dfb52-93d0-4e83-a8e6-470a98ba7d64",1
"Fregata ariel","Fregata ariel","http://biodiversity.org.au/afd.taxon/5d4fdfee-25a2-4697-8237-5a755f0d19cc",1
"Fregata minor","Fregata minor","http://biodiversity.org.au/afd.taxon/c6b8b86e-0040-46ae-a3a1-3c76a210e59c",2
"Fregata minor","Fregata minor","http://biodiversity.org.au/afd.taxon/91950187-77b3-4cb0-98c0-75b4ef667c1d",2
"Gallinago hardwickii","Gallinago hardwickii","http://biodiversity.org.au/afd.taxon/5c1957dc-0780-47cb-9c89-0498340c1e62",1
"Gallinago megala","Gallinago megala","http://biodiversity.org.au/afd.taxon/fc76c5eb-bc35-402a-a5b9-649787fc6db8",1
"Gallinago stenura","Gallinago stenura","http://biodiversity.org.au/afd.taxon/837ee431-9604-4f4c-9d21-8fd27be9c93b",1
"Gelochelidon nilotica","Gelochelidon nilotica","http://biodiversity.org.au/afd.taxon/72b23d0a-7050-413f-9100-3562d383888e",1
